Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ghana,GHA,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.677725668,16.20000001,18.0818565,14.14598929,13.19667147,11.99893516,11.26917303,14.67361734,17.29440057,21.59124922,18.18715299,13.94191126,
Gibraltar,GIB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.202335649,,6.071753255,9.442344658,10.67558596,11.55506646,9.899026964,9.379682282
"Gambia, The",GMB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.56851093,13.18723002,10.43608716,13.67534668,12.3091898,14.51595428,12.14590445,12.03900482,19.07047469,7.22312243,6.486070011,9.322760534,7.33747092,3.152658621,4.546706808,
Guinea-Bissau,GNB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72033073,4.417818771,5.767751007,20.13022598,19.73517898,16.79902771,24.64187195,27.20331564,36.67750458,48.81276857,
Greece,GRC,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.672747729,6.953954606,9.117344332,14.42825429,23.27038879,31.89893847,33.77527114,36.64743632,36.29866614,45.57231955,41.98786723,36.4485403,26.97804432
Grenada,GRD,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95035627,6.700865133,3.906644635,2.402814,2.202504,2.236326
Greenland,GRL,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71061567,2.110396747,1.606132395,1.344539703,1.193125332,1.287754919,1.347322995,2.054754364,2.323998163,2.176221049,2.201272044,1.830087504
